section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,17855
analyzeCount,1,17856
axleTravelRatio,1,-22.516647831585804
compressionSpeedRatio,1,-18.006136115594035
reboundSpeedRatio,1,-17.208292973921527
section,forkResults
movingCount,1,17854
filterRatio,1,62
timeComp,1,4014
timeReb,1,7139
axleMin,1,55.45
axleMax,1,159.4375
axleAvg,1,97.84240155600573
axleMovingAvg,1,97.93117975597252
segments,1,2
maxCompressionSpeed,1,3272.2500000000005
avgCompressionSpeed,1,952.9936708860763
compressionSpeed95,1,2252.6000000000004
maxReboundSpeed,1,1700.75
avgReboundSpeed,1,637.2641304347823
reboundSpeed95,1,1123.8500000000013
axleTravelTotal,1,26749.73000000019
totalTravelComp,1,8364.502499999997
totalTravelReb,1,11219.81
histogramLPS,42,20,160.0,0,0,0,0,0,0,10,1315,1178,1740,2062,2233,2357,2093,1806,1206,829,505,348,120,0,0,0,0,0,0,10,1315,1178,1740,2062,2233,2357,2093,1806,1206,829,505,348,120
gforceTotalComp,1,7272.712106442572
gforceTotalReb,1,10383.733781512612
gforceMin,1,-14.35
gforceMax,1,8.66
gforceAbsTotal,1,28625.467025209844
gforceTotalFlat,1,10969.021137254658
travelToForceRatioComp,1,1.1501214921721232
travelToForceRatioReb,1,1.080517878836219
travelToForceRatioAll,1,0.9344731380781409
vibrationCompression,1,1.8118365985158376
vibrationRebound,1,1.4545081638202286
vibrationOverall,1,1.603128753651985
forceBreakdownTable,9,0.0,0.0,0.0,20.78163426864754,92.65951182167879,63.052924313491026,79.21836573135246,7.34048817832122,36.94707568650899
invalidSamples,1,48
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
286,320,61.38,102.32,1.37,564.20,588.50,93.88
391,402,115.42,141.11,1.47,911.65,979.00,124.23
408,437,62.69,126.32,2.47,924.90,940.50,90.02
455,466,72.12,98.68,0.80,644.45,659.00,87.48
500,519,64.80,107.96,2.34,732.05,737.00,90.92
534,550,88.42,139.13,1.66,1091.40,1125.00,111.47
558,575,92.60,148.48,3.12,1191.45,1206.00,110.61
582,598,83.24,154.68,4.89,1250.35,1274.50,129.90
654,668,84.81,133.67,2.41,986.30,993.50,113.45
675,685,123.58,148.73,1.50,617.15,635.00,141.81
713,731,95.27,127.23,1.98,651.20,674.00,102.08
767,782,83.81,131.09,2.89,960.10,983.50,116.13
809,834,63.95,99.00,1.36,682.55,693.50,85.62
895,923,130.70,158.60,1.33,300.25,305.50,147.20
942,958,117.94,128.25,0.86,355.65,385.50,121.23
979,996,83.60,112.36,2.96,719.90,725.00,95.22
1004,1015,84.22,103.19,1.76,564.30,576.00,92.53
1057,1067,107.24,127.81,2.25,635.95,659.50,118.35
1085,1102,107.05,121.31,0.93,357.50,366.50,115.36
1103,1116,74.66,107.06,2.03,802.20,820.50,92.14
1124,1144,82.49,98.56,0.97,404.20,422.50,92.69
1194,1227,68.69,94.23,0.66,444.15,451.50,79.14
1271,1285,69.25,80.19,1.77,302.05,307.00,74.04
1295,1309,76.27,131.84,3.43,1104.00,1132.50,116.75
1366,1437,61.77,144.72,1.05,721.20,732.00,115.51
1498,1511,85.31,138.97,3.40,1151.75,1169.00,115.98
1518,1532,88.17,139.95,2.55,1137.55,1150.00,114.38
1538,1552,69.19,96.35,1.65,686.15,717.50,88.31
1574,1588,93.02,118.08,1.40,525.70,563.50,110.79
1625,1636,114.11,124.44,1.47,416.65,446.50,119.72
1642,1654,101.12,114.32,0.33,441.60,463.50,108.09
1705,1725,91.73,127.70,1.50,779.15,818.00,118.93
1737,1758,75.21,91.53,1.09,346.95,369.00,86.90
1774,1807,63.81,98.98,0.67,563.20,578.50,81.76
1842,1861,102.26,119.70,1.24,390.50,425.00,105.86
1880,1897,96.15,120.53,1.02,669.75,696.00,108.07
1941,1988,57.72,123.33,1.22,736.30,749.50,104.46
2047,2073,68.84,117.68,2.80,812.00,818.00,95.60
2094,2146,109.41,147.29,0.74,508.95,540.00,116.15
2148,2169,65.16,109.44,1.32,773.55,778.50,91.56
2202,2213,72.63,88.27,2.77,374.00,378.50,82.51
